"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_00001",75.4196302032527,0.421397924022858,0.374360418701497,0.0971779808858701,0.206126815794536
"ECB_00002",5057.64345219645,-0.18824479232393,0.147450658054323,0.173693000529661,0.315614935808
"ECB_00003",2736.19138071814,-0.505580551656461,0.173714978406615,0.00141772162409525,0.00707920678344646
"ECB_00004",5126.74945947219,-0.537339193008529,0.20371938181444,0.00280738460501893,0.0126584467519716
"ECB_00005",484.924096383143,-0.5657754576113,0.222140737826925,0.00318883540242861,0.0139604247559811
"ECB_00006",164.361606495588,-0.179626996992337,0.171024632330698,0.252558471893366,0.413967194897049
"ECB_00007",58.6820337466882,0.165383358608688,0.251528419817659,0.427572091906864,0.593806317236939
"ECB_00008",4197.52562921366,0.250947985525196,0.179860505244691,0.124790004880543,0.250311331047014
"ECB_00009",212.671180394533,0.187534028810747,0.203870995943491,0.298593452118386,0.46454725091972
"ECB_00010",125.439306027605,-0.120578031384236,0.177014526488907,0.45547878574588,0.621107435108018
"ECB_00011",25.9486918602855,-0.0308237355781538,0.299217769377485,0.892397953882856,0.943884315618184
"ECB_00012",8.0066075474364,0.395337701342077,0.414681077865564,0.127035506500432,0.253734048792641
"ECB_00014",3154.44224830513,0.363763428734734,0.171127173573363,0.0203047224630372,0.0614034378099076
"ECB_00015",481.285011164024,-0.298080590818292,0.206785941489124,0.101838498062788,0.213605540504957
"ECB_00016",45.6271898251784,-0.352837705988835,0.284284947961269,0.115957427942396,0.23650038797569
"ECB_00018",687.930521520515,0.0745919708303045,0.155609836204786,0.607151134360804,0.749975072463395
"ECB_00019",69.2152268503409,-0.440044150902132,0.239786523946821,0.0297246145338652,0.0835172938208974
"ECB_00020",13.7526667213857,0.0659641133516654,0.364655598328008,0.783657137679492,0.876069051650519
"ECB_00025",47.4291934872426,-0.0252731152284704,0.519809682618063,NA,NA
"ECB_00027",775.950496731352,-0.502419445661777,0.296358311984012,0.0296615968553415,0.083402473607439
"ECB_00028",24.0569389844624,0.994681359560564,0.317540846010501,6.43362745475906e-05,0.000525436168485203
"ECB_00029",838.011038832564,0.59646432100297,0.108335904997151,1.08809099178893e-08,2.42406070064221e-07
"ECB_00030",6135.20911541193,-0.0343319611378044,0.175033776800118,0.830248685906132,0.903302946384074
"ECB_00031",856.038359075429,-0.011817720316105,0.223216678066737,0.951112995856717,0.976265111614105
"ECB_00032",217.674128042273,-0.170268094071678,0.148550834937318,0.221562464497907,0.378829554420808
"ECB_00033",544.339312476013,0.0301047100884109,0.178244401066683,0.853055452770119,0.918431163763082
"ECB_00034",127.190246528297,0.20488267498692,0.306327751671463,0.375629467206419,0.547732356325394
"ECB_00035",757.469014152794,-0.00370553761176045,0.153697668350246,0.979408549049252,0.991506120880324
"ECB_00036",4023.24867141916,-0.866872043653828,0.209107707434593,2.41557532030904e-06,3.06216871412914e-05
"ECB_00037",16948.6908973415,-1.18204069578514,0.254185106631699,5.32524690688446e-08,1.00751530675477e-06
"ECB_00038",29.8651551458936,-1.41866721794185,0.413425957784536,5.63475662914248e-06,6.37082844105749e-05
"ECB_00039",27.1868439653735,0.120239611642022,0.306925075023441,0.602112399934438,0.747298252223048
"ECB_00040",15.1924379911938,-0.201291304572596,0.392488749544254,0.41238614343452,0.580243081967669
"ECB_00041",52.679265592312,-0.0614860818265071,0.341255825143514,0.795949805917553,0.882501390853279
"ECB_00043",33.8828773293629,-0.135289655869138,0.238580950602679,0.50214784219614,0.664957236619242
"ECB_00044",14.02617981693,-0.155240515769168,0.367684561823116,0.521985463048852,0.682150388191228
