"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_00001",75.4196302032527,0.001022810730919,0.134521497336743,0.976874033121339,0.997908206365882
"ECB_00002",5057.64345219645,-0.185662796421809,0.145581533215573,0.0127462883318279,0.22635437636618
"ECB_00003",2736.19138071814,-0.276056934383193,0.174509910865452,0.00219113234831633,0.0984260339615997
"ECB_00004",5126.74945947219,-0.380214360708154,0.247740256957977,0.000691597411248949,0.0569969483005218
"ECB_00005",484.924096383143,-0.363123341827432,0.325171275197577,0.00171386628550354,0.0885682817048517
"ECB_00006",164.361606495588,0.00287375137958362,0.0876694300751854,0.947737749091016,0.993394384104116
"ECB_00007",58.6820337466882,0.00498122992665102,0.111959726805624,0.907207332630848,0.993394384104116
"ECB_00008",4197.52562921366,-0.0446886730587466,0.10403867699714,0.354658868560849,0.860736370447447
"ECB_00009",212.671180394533,0.0104858538298463,0.100539907752983,0.81419429776669,0.993394384104116
"ECB_00010",125.439306027605,-0.0461451307850717,0.103899872285972,0.341276249939011,0.850074025922862
"ECB_00011",25.9486918602855,0.00496829120074257,0.131618362272054,0.891410064425303,0.993394384104116
"ECB_00012",8.0066075474364,0.029310856642847,0.159033835128354,0.401515104463007,NA
"ECB_00014",3154.44224830513,-0.114104396285845,0.138942148873506,0.0623852875735592,0.459575785812432
"ECB_00015",481.285011164024,-0.0279907143664675,0.106919870201324,0.540887085994407,0.951739531093295
"ECB_00016",45.6271898251784,-0.0740719075174155,0.154848265669701,0.132333734910407,0.634389098271939
"ECB_00018",687.930521520515,0.0266665207444999,0.102205935332376,0.561278779636844,0.952814539936213
"ECB_00019",69.2152268503409,0.0784124967249864,0.158270829593258,0.117685235639457,0.598171767783542
"ECB_00020",13.7526667213857,-0.0510066450585484,0.189535309339708,0.190143013842961,0.71910053383408
"ECB_00025",47.4291934872426,-0.0568893040297812,0.282655678646542,NA,NA
"ECB_00027",775.950496731352,0.0153860596701002,0.118476689219121,0.712765286655834,0.981392855091642
"ECB_00028",24.0569389844624,0.0264097581772565,0.122766102027373,0.532854474533574,0.951197760960811
"ECB_00029",838.011038832564,0.0731329497040814,0.0962979947677219,0.151043374772538,0.670169494869837
"ECB_00030",6135.20911541193,-0.0884481139992761,0.122471678346134,0.115970048662671,0.592915019310121
"ECB_00031",856.038359075429,-0.111546563729413,0.157284710370109,0.0602661568668168,0.454962804630332
"ECB_00032",217.674128042273,0.0805285246566946,0.109918240477814,0.137488841014032,0.642495400628452
"ECB_00033",544.339312476013,-0.0693007768500013,0.116147789716852,0.187310836733735,0.71799232099396
"ECB_00034",127.190246528297,-0.00351542444077957,0.1238982080181,0.928235018382538,0.993394384104116
"ECB_00035",757.469014152794,-0.121716758787153,0.127178538530211,0.0518832032261886,0.436546057498379
"ECB_00036",4023.24867141916,-0.0205376301735714,0.104211795154808,0.649084638800673,0.976971579626179
"ECB_00037",16948.6908973415,-0.0978101753467447,0.143795420905725,0.0865637187823366,0.520799067502241
"ECB_00038",29.8651551458936,0.0919230089668407,0.179492802911949,0.0790454602181331,0.499033713147944
"ECB_00039",27.1868439653735,0.167342702876399,0.267715436946774,0.018801620199926,0.275357593047522
"ECB_00040",15.1924379911938,0.0870417955632316,0.231298969518257,0.0747647221776779,0.493120904088239
"ECB_00041",52.679265592312,-0.0300005076428543,0.149669699550027,0.412608428451952,0.903618378357084
"ECB_00043",33.8828773293629,-0.0371468649755992,0.121505276676517,0.408539163296567,0.901860778447301
"ECB_00044",14.02617981693,-0.00781721762272818,0.144922034970685,0.811549600768559,0.993394384104116
"ECB_00046",9.71501404399961,0.238075533334503,0.45771182218071,0.00978715454743399,0.194473406034418
"ECB_00047",17.0087884421348,0.0480497070129763,0.171872904500131,0.222124649284748,0.753105138570971
"ECB_00049",23.6686788720898,0.0103403293323526,0.136036340900379,0.770727038383906,0.989588750645909
"ECB_00050",11.6107600342969,0.0514233461034349,0.167040526531319,0.208664229714471,0.734127256264244
"ECB_00051",156.628627046194,-0.157560831083585,0.154821921123995,0.024031497116869,0.310850179776897
"ECB_00052",298.695527050828,0.0316296648534761,0.101505220420382,0.496301725724129,0.937033972142732
