"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_00001",75.4196302032527,0.0148267381857705,0.109715637753269,0.440108008944293,0.969659984802863
"ECB_00002",5057.64345219645,-0.135192159935438,0.126119690859609,0.00516877884018759,0.282026471240924
"ECB_00003",2736.19138071814,-0.106644681121028,0.121429208469666,0.0131512481184872,0.455594113264621
"ECB_00004",5126.74945947219,-0.0985258363440344,0.135607847057749,0.0142254581732838,0.463627566916379
"ECB_00005",484.924096383143,-0.063492517953084,0.110987955743633,0.0625316789690819,0.766230783120635
"ECB_00006",164.361606495588,0.00051174234695066,0.0919551883319234,0.988946298785082,0.99952539188783
"ECB_00007",58.6820337466882,0.000615998275790905,0.0991912172001714,0.981126853090351,0.99952539188783
"ECB_00008",4197.52562921366,-0.0407425861839618,0.0950744820601911,0.264201552477164,0.942111653597982
"ECB_00009",212.671180394533,-0.00545545170376191,0.095433076376624,0.864997550978633,0.99952539188783
"ECB_00010",125.439306027605,-0.0143153720073645,0.0931464407429152,0.688863530048179,0.99952539188783
"ECB_00011",25.9486918602855,0.0333975126991577,0.116306172135862,0.160694942244733,NA
"ECB_00012",8.0066075474364,0.037744180751262,0.160758319812797,0.0824632286770446,NA
"ECB_00014",3154.44224830513,-0.119121100457184,0.133648301735242,0.00796558689773777,0.354673285977622
"ECB_00015",481.285011164024,-0.0394130996275156,0.0988764801012412,0.231800283791661,0.930507320793104
"ECB_00016",45.6271898251784,-0.0151402517735138,0.101943971176874,0.533593571524121,0.987116383289788
"ECB_00018",687.930521520515,-0.0437065948999722,0.0918683766727108,0.271597942144223,0.94619320319634
"ECB_00019",69.2152268503409,-0.0135515638147656,0.0978593180796892,0.641210146678107,0.99952539188783
"ECB_00020",13.7526667213857,-0.00302219004855817,0.108491299694476,0.856857095326843,NA
"ECB_00025",47.4291934872426,-0.0109652222983241,0.1548664426741,NA,NA
"ECB_00027",775.950496731352,0.00795323359537081,0.10066170367475,0.74466443286351,0.99952539188783
