"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_00001",75.4196302032527,-0.390828713325185,0.383377521059707,0.124640499364541,0.25176616825484
"ECB_00002",5057.64345219645,-0.162130202610159,0.151949227629231,0.241331918517278,0.402936195209168
"ECB_00003",2736.19138071814,0.0378413911950649,0.15906081548812,0.793336028223209,0.884892952360807
"ECB_00004",5126.74945947219,-0.0543031076728092,0.186993023514343,0.742878754232942,0.850624527747643
"ECB_00005",484.924096383143,-0.11646296396843,0.234046300452269,0.553448189151147,0.712471922182218
"ECB_00006",164.361606495588,0.188386952400896,0.165693521275566,0.206874571779414,0.363022762832382
"ECB_00007",58.6820337466882,-0.142032820308315,0.244995609251099,0.483796810151281,0.651198147188551
"ECB_00008",4197.52562921366,-0.408809773744888,0.182126116748739,0.0128663380665088,0.044176793697873
"ECB_00009",212.671180394533,-0.143803954059505,0.199656624258499,0.409365190180104,0.5834737602339
"ECB_00010",125.439306027605,-0.0286192323356421,0.171111551259593,0.852377158526267,0.921688103942762
"ECB_00011",25.9486918602855,0.0576283674178727,0.336294049000525,0.807753605876361,0.893532749863232
"ECB_00012",8.0066075474364,-0.135680628823139,0.384697246295672,0.576103360110213,0.73109563465763
"ECB_00014",3154.44224830513,-0.690525234667781,0.191056148180718,6.59882301503544e-05,0.000656381599638803
"ECB_00015",481.285011164024,0.178043358733228,0.209277126847468,0.324961064587077,0.49556892728814
"ECB_00016",45.6271898251784,0.00944571784835916,0.276422528216726,0.965474344873466,0.982504421513025
"ECB_00018",687.930521520515,0.029970736323241,0.18919525033666,0.857719373254746,0.923831033346813
"ECB_00019",69.2152268503409,0.808800838666085,0.334156747176125,0.00138007651546521,0.0075222193793525
"ECB_00020",13.7526667213857,-0.40769880173104,0.451703184949751,0.121053895180469,0.24657909121497
"ECB_00025",47.4291934872426,-0.39330904031193,0.71414713634345,NA,NA
"ECB_00027",775.950496731352,0.608430099345308,0.298155114841015,0.00949976503582755,0.0348593939463066
"ECB_00028",24.0569389844624,-0.789203824317273,0.293121494690493,0.000753281716323723,0.00469236949537203
"ECB_00029",838.011038832564,-0.414588920824157,0.12364801231102,0.000443445062227077,0.00301800178466704
"ECB_00030",6135.20911541193,-0.208105635526325,0.172131439771526,0.177337539310062,0.324081760435056
"ECB_00031",856.038359075429,-0.357310483988638,0.231745293023052,0.0692588478967724,0.163190797383433
"ECB_00032",217.674128042273,0.38042412747799,0.152122741355269,0.00699074175952652,0.027421842675967
"ECB_00033",544.339312476013,-0.242559890295306,0.180945823576273,0.132157559201139,0.261249787561556
