Locustag	28_1	28_2	29_1	29_2	36_1	36_2	46_1	46_2	47_1	47_2	49_1	49_2
ECB_00163	71	58	56	118	47	81	86	96	143	150	117	154
ECB_00164	3484	3014	4624	5157	4174	2376	7221	5480	7661	4780	6340	7672
ECB_00165	1205	1582	1363	1846	1500	935	1472	1208	2032	1342	2114	2895
ECB_00166	2055	1811	2149	2739	1550	991	1957	1683	2362	1854	2761	3431
ECB_00167	7811	5200	12207	10534	14752	7248	18856	15105	20849	14834	29220	36029
ECB_00168	6266	5072	8044	7436	9850	4859	14507	10329	15009	10814	16522	19378
ECB_00169	444	795	581	881	1023	517	1226	1039	1408	1126	1892	2409
ECB_00170	1760	1267	1543	1655	1525	892	1658	1597	2105	1716	2565	3655
ECB_00171	214	344	272	383	349	248	405	340	511	355	668	716
ECB_00172	700	555	366	568	662	573	627	704	938	852	1474	1628
ECB_00173	637	646	538	714	731	366	646	612	740	648	983	1061
ECB_00174	1958	1833	1778	2411	2173	1887	2184	2249	3281	2641	4331	4881
ECB_00175	4534	6129	4472	6726	6405	3774	7678	6743	10065	7370	11022	12610
ECB_00176	2318	2067	2888	3275	2563	1478	3565	3077	4048	3251	3930	5361
ECB_00177	1569	2177	2129	3268	3196	1556	2791	2806	3582	2876	3565	4375
ECB_00178	955	981	849	957	984	1068	908	1082	1584	1488	1543	1775
ECB_00179	1402	2228	1678	2336	2797	1593	2120	2159	2495	2104	2278	2536
ECB_00180	309	436	453	469	296	258	301	298	445	456	521	603
ECB_00181	71	128	95	208	195	107	192	174	233	202	302	322
ECB_00182	813	1216	1019	1588	2082	1275	2040	2149	2573	1976	2905	3524
ECB_00183	563	659	484	799	1059	574	1082	1018	1299	956	1394	1919
ECB_00184	244	191	276	223	202	175	256	234	337	237	425	569
ECB_00185	100	81	140	136	96	103	112	98	158	103	232	230
ECB_00186	88	110	138	136	170	108	153	141	181	184	217	301
ECB_00187	498	419	533	548	310	271	344	275	439	317	454	610
ECB_00188	427	198	391	267	170	166	262	200	319	319	397	606
ECB_00189	193	161	205	267	204	142	187	183	313	210	292	310
ECB_00190	21	30	41	40	41	17	28	37	53	57	86	124
ECB_00191	130	193	270	199	128	177	162	161	286	278	319	435
ECB_00192	21	18	23	13	16	10	24	28	25	20	14	26
ECB_00193	1336	1743	1475	2246	2356	1222	2836	2360	3239	2226	3459	3424
ECB_00194	120	183	103	295	119	78	134	112	158	115	193	209
ECB_00195	109	172	119	184	112	94	94	110	188	138	288	367
ECB_00196	2116	1971	2493	2477	1769	1406	4377	2166	4427	2857	3329	4964
ECB_00197	284	574	291	564	461	401	1002	469	1068	648	546	791
ECB_00198	70	396	85	344	666	443	1081	483	1262	721	723	1084
ECB_00199	253	331	348	391	333	344	392	377	561	467	486	764
ECB_00200	96	119	89	88	83	55	118	79	153	98	133	175
ECB_00201	150	142	129	129	102	99	104	90	169	123	147	232
ECB_00202	485	547	802	862	594	354	476	523	669	558	707	1015
ECB_00203	134	260	220	336	118	118	119	106	199	102	130	187
ECB_00204	631	742	623	840	1654	1085	809	1274	1249	1350	1260	1467
ECB_00205	137	118	120	133	79	105	101	126	170	133	159	246
ECB_00206	256	181	282	316	262	180	267	236	400	248	360	581
ECB_00207	59	94	147	112	138	124	131	118	172	120	216	280
ECB_00208	103	161	113	182	107	94	140	120	162	163	182	337
ECB_00209	21	26	19	28	21	49	16	32	34	90	41	37
ECB_00210	0	0	0	0	0	0	0	3	0	0	0	0
ECB_00211	1	1	1	0	3	0	0	0	1	1	1	0
ECB_00212	90	210	133	141	34	172	64	71	116	346	39	77
ECB_00213	9	16	6	7	6	6	3	4	7	19	8	11
ECB_00214	226	159	277	275	252	148	225	239	286	268	370	399
ECB_00215	55	35	70	95	30	32	71	54	76	53	111	158
ECB_00216	1921	150	1750	160	213	219	162	303	250	185	252	332
ECB_00217	2063	1497	2351	2395	1597	823	1701	1507	2072	1659	1773	2392
ECB_00218	885	637	1133	940	831	532	779	754	1039	745	1080	1443
ECB_00219	215	310	277	333	317	283	328	315	510	370	784	942
ECB_00220	6	1	11	8	4	9	8	4	14	11	21	33
ECB_00221	366	223	537	469	259	381	492	405	591	458	841	1172
ECB_00222	13	14	5	5	2	7	4	9	15	12	11	10
ECB_00223	8	13	10	9	7	13	6	9	11	11	12	10
ECB_00226	103	120	118	121	121	92	142	100	141	117	168	192
ECB_00227	11	2	9	10	7	5	11	9	6	17	25	22
ECB_00228	7	10	3	10	7	5	12	1	7	5	18	25
ECB_00229	6	17	8	7	2	19	4	4	6	10	11	8
ECB_00230	2	1	1	1	0	0	0	2	4	1	8	2
ECB_00231	3	2	5	4	6	8	0	5	2	7	64	71
ECB_00232	1859	1752	2484	2558	2099	1502	2723	2320	3540	2491	3878	5439
ECB_00233	48	61	22	58	91	60	76	88	90	78	155	241
ECB_00234	699	684	889	1080	912	394	1001	867	1136	756	1021	1259
ECB_00235	2155	1586	1908	2074	2187	1729	2051	2079	2417	2268	3025	3801
ECB_00236	32	36	46	39	36	35	37	61	64	36	71	148
ECB_00237	0	3	1	3	1	0	0	0	0	0	3	1
ECB_00238	3	14	10	14	2	7	6	9	10	22	42	61
ECB_00239	580	564	682	803	679	379	685	638	907	655	1825	2088
ECB_00240	510	669	639	718	624	313	772	722	944	698	1468	1741
ECB_00241	27	14	23	36	15	23	10	25	24	50	29	42
ECB_00242	97	106	96	76	69	166	54	106	129	314	71	76
ECB_00243	67	83	83	80	38	77	58	66	128	109	67	133
ECB_00244	41	47	28	26	11	47	18	26	29	31	34	39
ECB_00245	15	19	13	12	3	7	7	3	13	15	12	18
ECB_00246	237	721	355	830	490	327	337	457	470	482	1007	1121
ECB_00247	6	7	8	11	8	12	10	11	11	14	17	41
ECB_00248	25	28	41	43	16	27	40	26	35	37	62	63
ECB_00249	24	172	49	68	56	41	34	40	50	52	62	108
ECB_00250	71	146	129	117	50	113	89	82	124	205	136	196
ECB_00251	8	10	4	2	7	6	25	7	12	20	65	83
ECB_00252	23	13	11	23	46	21	88	56	92	30	430	663
ECB_00253	2	8	2	7	8	13	16	13	24	15	158	298
ECB_00254	1	8	4	4	3	6	6	2	5	5	1	14
ECB_00255	87	164	53	215	9	15	14	22	72	49	28	42
ECB_00256	113	147	95	147	90	117	100	84	140	136	143	157
ECB_00257	18	25	19	15	18	14	12	10	24	14	75	146
ECB_00258	1	1	1	3	1	4	2	7	4	5	5	2
ECB_00259	0	3	0	1	2	0	0	0	2	4	0	3
ECB_00260	11	20	19	17	7	14	8	4	4	16	28	32
ECB_00261	38	9	13	15	6	15	12	9	8	11	22	23
ECB_00262	65	13	44	16	15	18	25	3	31	20	90	109
ECB_00263	121	72	90	71	36	40	69	53	111	63	213	285
