Locustag	28_1	28_2	29_1	29_2	36_1	36_2	46_1	46_2	47_1	47_2	49_1	49_2
ECB_00902	119	383	90	326	339	193	382	385	368	320	222	224
ECB_00903	21	17	22	10	6	17	11	17	14	18	28	30
ECB_00904	35	35	15	30	25	19	18	24	29	30	112	202
ECB_00905	10	16	12	13	9	12	11	14	27	17	81	77
ECB_00906	362	314	349	480	429	235	485	422	578	427	698	941
ECB_00907	14025	11127	14601	19236	9948	5525	12778	8941	14096	9458	22505	28179
ECB_00908	1576	1891	1015	1818	1185	985	1352	1196	2099	1542	2928	3525
ECB_00909	796	1105	556	1112	843	518	1252	971	1439	976	2509	2067
ECB_00910	29	22	13	27	10	17	18	23	39	27	26	54
ECB_00911	4646	7903	4473	7736	6591	3951	9598	8051	10573	7698	10243	10259
ECB_00912	1052	1767	994	1584	1232	1009	1700	1575	2384	1869	3242	3248
ECB_00913	44	35	22	39	19	25	32	25	32	28	56	61
ECB_00914	722	657	491	941	686	543	937	924	1263	859	1977	2235
ECB_00915	24660	21819	22306	31786	37734	18682	53734	41488	57432	39372	76873	76603
ECB_00916	1083	751	843	713	522	509	870	760	1030	942	1730	2151
ECB_00917	89	52	42	53	29	30	47	29	44	52	51	84
ECB_00918	374	372	294	478	392	361	401	412	485	417	731	748
ECB_00919	201	293	208	313	231	165	257	232	280	224	348	400
ECB_00920	53	54	48	90	58	47	52	42	86	82	91	120
ECB_00921	25	7	23	25	13	13	10	20	27	27	52	76
ECB_00922	525	332	500	659	546	281	694	535	791	556	925	1124
ECB_00923	183	163	190	371	204	149	199	235	389	265	356	413
ECB_00924	35	48	31	45	38	49	48	23	41	48	52	84
ECB_00925	411	271	391	342	277	203	222	253	290	292	381	495
ECB_00926	551	402	459	503	368	290	319	305	404	377	590	688
ECB_00927	221	289	240	415	249	138	238	218	312	227	359	447
ECB_00928	1993	1849	2504	2832	2052	1244	2254	2012	2667	2081	3470	4027
ECB_00929	3012	1019	2060	1684	876	796	940	873	1344	1006	1589	2413
ECB_00930	973	594	627	713	438	517	540	547	833	586	958	1067
ECB_00931	601	452	623	631	459	331	457	479	596	521	821	950
ECB_00932	3783	3489	4659	5419	4814	2899	5771	5150	7355	5138	7260	7770
ECB_00933	165517	150407	157810	189975	155286	121343	259211	192577	287755	205003	268347	299409
ECB_00934	1656	1806	1556	2206	1732	1213	1930	1935	2468	1924	3010	3261
ECB_00935	762	1015	702	1237	609	385	494	559	799	554	981	1131
ECB_00936	6748	2889	5893	4583	2423	1652	2879	2389	3593	2364	4591	5932
ECB_00937	419	722	123	508	104	132	259	131	284	187	206	402
ECB_00938	538	850	147	688	178	131	404	172	368	227	244	444
ECB_00939	897	1063	363	1232	322	306	617	363	731	488	610	1201
ECB_00940	533	1381	205	1419	526	641	1063	627	1345	761	1130	2176
ECB_00941	272	669	111	682	267	336	627	354	689	443	707	1237
ECB_00942	3	7	5	8	5	8	5	5	4	2	23	35
ECB_00943	0	7	4	6	1	11	2	2	2	5	4	4
ECB_00944	22	26	20	16	20	18	8	15	32	35	35	68
ECB_00945	22	20	41	21	25	23	22	19	44	19	70	85
ECB_00946	4	4	5	16	11	6	7	10	8	10	4	21
ECB_00947	8	26	16	24	13	9	5	20	11	17	16	24
ECB_00948	14	26	26	21	22	16	24	15	28	15	27	20
ECB_00949	46	184	39	103	218	141	229	195	335	217	437	357
ECB_00950	701	585	470	534	493	473	523	582	676	590	1468	1565
ECB_00951	460	500	386	427	217	190	336	280	454	338	632	708
ECB_00952	414	595	508	688	601	376	746	683	907	583	1207	1136
ECB_00953	339	355	372	485	450	268	521	496	721	540	1061	1169
ECB_00954	160	214	169	268	160	157	164	202	273	193	313	273
ECB_00955	194	320	278	331	315	265	273	304	352	274	450	455
ECB_00956	120	106	163	193	172	121	196	156	212	137	304	346
ECB_00957	653	189	582	259	374	268	258	362	371	391	361	580
ECB_00958	362	319	312	395	531	216	530	515	583	392	982	1031
ECB_00959	359	391	372	538	487	330	509	491	690	490	814	939
ECB_00960	48	28	44	48	25	20	36	25	47	21	66	98
ECB_00961	38008	21636	41266	43762	26918	14353	40225	29079	38347	27026	44133	56198
ECB_00962	385	271	242	229	166	164	187	178	206	227	261	323
ECB_00963	184	116	186	162	99	103	86	93	139	102	165	214
ECB_00964	185	184	140	212	213	208	218	227	310	234	344	372
ECB_00965	36	56	21	32	50	36	52	66	73	50	91	112
ECB_00966	226	235	445	396	347	244	301	318	490	306	543	608
ECB_00967	1337	389	1336	860	676	604	741	707	1151	837	1091	1276
ECB_00968	3	3	14	13	3	9	4	3	15	8	9	20
ECB_00969	82	50	155	89	71	55	80	73	96	74	149	226
ECB_00970	179	131	223	241	85	59	81	90	114	61	213	309
ECB_00971	310	328	311	405	139	69	116	130	198	135	271	245
ECB_00972	82	45	88	72	28	12	29	30	28	45	28	61
ECB_00973	17	26	18	13	27	18	21	21	25	29	45	78
ECB_00974	4486	2689	2422	2554	1612	1197	3015	2134	3351	2234	3001	3588
ECB_00975	20	12	10	37	17	4	12	14	15	14	25	33
ECB_00976	19	20	24	23	19	24	17	19	16	22	34	24
ECB_00977	9	16	14	9	13	3	9	9	9	19	18	12
ECB_00978	6	8	6	13	7	7	7	5	6	2	10	13
ECB_00979	2	1	27	11	3	2	8	3	2	1	8	3
ECB_00980	11	12	13	5	5	12	20	10	8	21	13	12
ECB_00981	112	75	102	172	46	24	45	41	52	38	174	167
ECB_00982	68	58	84	105	34	18	20	24	51	23	68	65
ECB_00983	132	106	154	189	87	57	115	118	127	90	133	157
ECB_00984	132	90	137	147	102	74	100	73	99	93	125	124
ECB_00985	2	1	3	2	7	5	1	1	0	2	4	9
ECB_00986	21	36	25	20	9	31	11	22	25	42	19	21
ECB_00987	28	29	17	35	11	32	11	17	29	38	29	38
ECB_00988	0	7	1	5	4	10	5	3	7	5	4	6
ECB_00989	7	10	8	7	3	7	4	4	8	16	12	15
ECB_00990	2	5	0	7	0	4	4	6	4	4	9	24
ECB_00991	2	4	3	2	2	2	3	3	2	4	6	6
ECB_00992	333	380	358	452	198	288	279	244	368	286	860	900
ECB_00993	0	6	6	9	7	7	3	5	3	4	10	14
ECB_00994	29	25	49	50	9	14	18	35	35	27	48	80
ECB_00995	12	31	13	19	5	5	7	9	17	21	25	26
ECB_00996	171	354	153	302	90	373	132	190	264	501	143	166
ECB_00997	46	27	32	22	13	12	8	20	26	24	16	29
ECB_00998	25	37	35	42	24	18	29	29	29	27	24	60
ECB_00999	5	3	4	1	4	7	1	6	3	12	7	6
ECB_01000	64	41	76	58	36	43	30	37	47	58	62	42
ECB_01001	18	13	39	56	44	46	7	33	31	69	18	36
ECB_01002	66	41	55	78	59	21	53	35	70	63	57	92
ECB_01003	349	226	350	461	191	197	239	308	413	398	380	562
ECB_01004	12	40	10	31	14	20	12	10	15	19	14	16
ECB_01005	1005	43	804	114	51	73	80	96	144	108	222	279
ECB_01006	46	60	49	72	8	13	26	19	22	22	23	60
ECB_01007	244	371	356	694	118	105	153	133	164	134	366	589
ECB_01008	37	23	37	22	51	28	15	47	28	37	62	92
ECB_01009	324	62	216	121	51	37	52	34	80	82	93	116
ECB_01010	159	12	124	71	32	34	16	27	42	41	37	33
ECB_01011	127	16	106	56	31	28	14	17	39	27	34	31
ECB_01012	303	33	220	76	28	60	20	39	70	80	78	96
ECB_01013	135	14	128	40	12	23	11	22	32	43	45	26
ECB_01014	663	20	420	76	70	33	23	27	74	41	109	79
ECB_01015	1552	69	1157	183	116	90	56	93	173	150	249	183
ECB_01016	104	45	102	111	63	53	77	98	127	73	146	166
ECB_01017	2911	688	3001	1090	686	448	1373	1063	1233	943	1449	1958
ECB_01018	2017	701	1623	689	666	349	986	858	1079	695	1892	1696
ECB_01019	335	748	685	936	724	443	496	678	656	664	858	923
ECB_01020	771	1617	1375	1667	1537	918	1391	1490	1731	1560	2574	2401
ECB_01021	417	1038	901	1374	1342	759	1379	1230	1492	1231	1948	1903
ECB_01022	2968	1452	2847	2354	3194	2274	3267	3145	3931	3204	5474	7298
ECB_01023	15	11	14	11	7	16	11	20	15	17	51	62
ECB_01024	11	12	15	34	19	13	8	13	13	36	80	73
ECB_01025	13	33	21	30	17	46	14	14	21	48	47	42
ECB_01026	12	37	22	24	21	23	8	17	33	50	107	115
ECB_01027	111	105	55	78	45	246	159	82	65	174	95	126
ECB_01028	17	19	18	11	12	15	18	13	24	21	16	19
ECB_01029	0	6	2	6	1	4	2	2	8	3	2	1
ECB_01030	537	389	512	500	389	248	535	499	711	461	993	1175
ECB_01031	938	1078	1009	1032	468	316	709	563	947	537	1037	1241
ECB_01032	403	364	492	628	295	205	377	319	446	364	608	842
ECB_01033	568	376	513	545	209	198	228	242	359	251	483	447
ECB_01034	44	27	27	51	29	17	20	15	19	27	55	69
ECB_01035	1	1	5	6	1	5	2	3	7	5	3	3
ECB_01036	3	8	5	6	1	6	4	5	7	14	2	6
ECB_01037	2	5	4	6	6	8	6	4	1	10	1	6
ECB_01038	18	8	12	10	12	3	3	5	14	3	13	18
ECB_01039	7	13	9	5	2	10	0	3	6	3	6	12
ECB_01040	1	4	1	2	3	3	0	3	4	9	9	4
ECB_01041	14	9	9	6	11	7	3	5	9	12	45	58
ECB_01042	76	69	120	112	100	52	101	74	129	88	173	320
ECB_01043	171	203	189	247	173	151	164	144	225	180	341	409
ECB_01044	16	64	21	34	31	45	28	27	37	66	96	66
ECB_01045	222	500	246	439	372	235	438	353	571	416	990	1067
ECB_01046	618	1171	521	1307	1123	740	1394	1198	1680	1322	2786	2490
ECB_01047	2	3	0	2	2	3	6	9	6	8	6	17
ECB_01048	38	45	34	41	23	34	28	47	62	44	56	64
ECB_01049	137	130	118	210	140	113	127	100	190	160	232	311
ECB_01050	217	214	212	270	236	134	234	199	243	213	423	358
ECB_01051	49	136	58	108	162	131	128	170	236	159	325	344
ECB_01052	256	162	109	175	133	139	271	180	258	237	2140	2705
ECB_01053	73	47	29	37	48	42	60	51	55	75	551	747
ECB_01054	7	11	5	8	3	9	3	4	6	17	8	16
ECB_01055	301	299	304	413	421	244	399	406	544	420	1225	1414
ECB_01056	870	859	684	1029	335	318	319	308	471	355	1783	2523
ECB_01057	14	37	13	13	32	34	9	34	31	16	36	62
ECB_01058	82	228	60	171	194	126	182	158	222	182	409	392
ECB_01059	158	243	158	246	103	132	135	139	200	168	258	282
ECB_01060	232	180	292	265	155	118	187	173	243	256	282	477
ECB_01061	179	247	272	404	212	186	301	230	347	271	417	547
ECB_01062	1108	618	841	830	426	342	539	512	752	583	839	948
ECB_01063	1118	570	962	773	463	365	561	533	723	589	1003	1144
ECB_01064	675	488	848	833	421	336	565	453	620	459	942	1149
ECB_01065	289	455	311	499	304	231	299	316	316	345	425	379
ECB_01066	6	5	12	14	6	8	8	10	12	12	39	47
ECB_01067	32	23	40	31	26	18	34	30	53	27	116	114
ECB_01068	31	19	32	17	47	32	36	64	65	59	265	275
ECB_01069	11	20	14	21	89	36	30	43	34	43	284	287
ECB_01070	28	28	38	24	140	71	115	111	178	163	629	621
ECB_01071	74	82	112	66	263	128	211	174	284	283	1310	1206
ECB_01072	206	162	279	169	556	291	385	366	619	522	2505	2484
ECB_01073	104	78	132	94	358	160	253	218	339	339	1373	1304
ECB_01074	117	91	131	92	232	129	145	159	246	239	988	996
ECB_01075	46	33	39	29	77	59	28	46	99	73	315	318
ECB_01076	45	54	47	53	98	99	66	61	108	118	364	332
ECB_01077	27	35	35	35	65	36	48	34	77	47	212	231
ECB_01078	62	76	65	72	91	95	81	69	148	105	375	309
ECB_01079	47	29	53	38	55	29	60	40	78	61	206	239
ECB_01080	4626	4397	5646	6352	3986	2345	5385	4108	5969	4139	9577	11488
ECB_01081	3	24	9	1	1	1	0	1	3	3	3	10
ECB_01082	114	160	69	177	120	107	90	101	118	120	214	226
ECB_01083	165	119	147	154	142	86	130	137	198	172	312	376
ECB_01084	5181	4256	3722	5288	7172	3793	8409	7180	9483	7211	15385	16156
ECB_01085	1508	901	2046	1679	3583	1391	3559	3522	3661	3175	6237	8057
ECB_01086	920	918	919	1093	1366	1074	1290	1250	1780	1371	2823	2642
ECB_01087	1441	1397	1302	1749	1360	925	1633	1448	1919	1501	3274	3424
ECB_01088	2363	2036	2536	3008	2922	1516	3206	2967	3854	2698	5247	5856
ECB_01089	13775	12019	13053	14554	18540	14380	15239	18289	21136	19749	27189	28623
ECB_01090	6993	9548	5293	7947	7034	6243	6787	7269	8767	8968	8039	9287
ECB_01091	9012	8120	9893	11540	7108	4550	8873	7701	10365	7831	13588	14945
ECB_01092	298	221	199	225	243	251	238	213	295	262	381	427
ECB_01093	106	147	100	160	119	82	86	96	143	111	219	277
ECB_01094	294	342	255	401	314	256	266	321	400	355	447	430
ECB_01095	200	327	274	425	423	299	365	313	530	379	621	652
ECB_01096	154	213	145	249	145	103	190	155	274	186	371	344
ECB_01097	1872	2005	2074	2717	3580	1706	4006	3615	4445	3312	6983	5945
ECB_01098	584	1032	1459	1695	439	306	646	619	554	631	1048	1142
ECB_01099	131	94	77	109	64	54	75	97	89	115	179	264
ECB_01100	388	349	418	469	257	267	293	342	533	360	701	951
ECB_01101	610	688	736	791	520	359	770	599	788	576	1057	1360
ECB_01102	174	213	184	219	152	159	141	168	251	156	243	329
ECB_01103	309	280	329	420	304	170	369	302	445	366	578	708
ECB_01104	334	306	392	375	252	203	271	261	301	251	526	768
ECB_01105	3111	4369	5004	6276	4014	2011	4287	3526	5465	3908	6159	8252
ECB_01106	171	144	199	249	110	65	94	72	128	108	126	168
ECB_01107	82	84	131	113	89	64	123	89	104	95	209	267
ECB_01108	4	3	9	9	7	3	3	8	12	15	20	31
ECB_01109	262	105	135	187	204	159	370	338	461	288	502	724
ECB_01110	477	639	684	888	1073	765	773	722	989	775	1362	1476
ECB_01111	7	20	5	7	5	22	5	4	10	8	7	18
ECB_01112	209	274	209	282	323	268	335	318	423	335	531	619
ECB_01113	168	156	203	299	357	266	377	366	396	332	551	520
ECB_01114	364	378	320	444	460	347	396	424	594	417	664	708
ECB_01116	13	14	8	18	42	20	21	16	22	21	33	24
ECB_01117	0	5	5	1	5	1	0	1	3	5	3	0
ECB_01118	44	33	51	30	39	34	30	26	55	32	58	68
ECB_01119	4	5	0	6	3	5	6	2	4	4	8	11
ECB_01120	4	4	7	6	5	6	16	9	13	7	12	21
ECB_01121	501	451	593	693	494	343	786	591	891	611	1399	1698
ECB_01122	92	180	64	156	143	83	169	157	236	167	321	309
ECB_01123	64	121	28	138	145	83	146	136	181	120	282	241
ECB_01124	225	260	138	296	349	192	338	301	444	304	761	701
ECB_01125	303	247	250	292	155	124	162	125	192	151	221	341
ECB_01126	591	503	611	819	770	438	794	714	1041	764	1288	1376
ECB_01127	377	454	398	589	489	391	634	553	897	564	1395	1954
ECB_01128	910	642	600	872	732	560	963	738	1284	912	1743	2323
ECB_01129	402	695	265	700	1013	504	1259	1130	1339	909	2521	2242
ECB_01130	226	261	255	430	528	283	538	535	619	451	981	950
ECB_01131	297	361	262	470	543	348	518	559	818	614	1109	1105
ECB_01132	62	57	47	75	64	44	62	56	89	71	114	138
ECB_01133	21	31	32	48	16	26	18	25	36	36	61	67
ECB_01134	6899	4364	6608	5562	10153	5829	14731	10863	15470	11226	26142	30799
ECB_01135	6	32	9	13	4	3	9	13	31	31	31	65
ECB_01136	2	5	2	4	2	5	0	4	1	5	5	7
ECB_01137	81	83	86	86	119	132	149	123	213	175	372	491
ECB_01138	177	254	147	155	144	209	202	191	286	234	1020	1244
ECB_01139	1	2	1	1	7	1	3	1	2	3	4	1
ECB_01140	0	1	1	1	3	3	1	3	2	6	2	4
ECB_01141	6	3	3	11	0	14	2	2	6	9	6	1
ECB_01142	0	5	1	1	0	4	6	11	10	4	2	0
ECB_01143	11	8	4	3	10	7	1	9	14	16	5	18
ECB_01144	0	0	1	1	1	3	0	0	0	2	1	2
ECB_01146	2	13	9	4	2	1	9	1	7	2	37	44
ECB_01147	1	1	3	7	2	1	0	3	2	4	13	15
ECB_01148	1	1	2	1	3	4	0	1	5	3	3	2
ECB_01149	149	77	131	112	82	69	113	109	151	131	306	422
ECB_01150	1641	897	1518	1235	1066	788	1426	1114	1698	1328	3089	3900
ECB_01151	429	419	456	471	317	336	390	371	600	424	1535	1952
ECB_01152	133	210	87	173	42	58	71	73	72	87	124	149
ECB_01153	781	526	712	1351	112	156	287	196	369	287	461	712
ECB_01154	202	248	135	215	114	167	147	176	261	193	337	375
ECB_01155	558	405	549	463	373	249	405	415	484	350	868	1110
ECB_01156	97	121	64	99	52	75	93	90	113	101	187	180
ECB_01158	25	12	3	14	18	6	15	14	17	19	14	20
ECB_01159	52	64	66	51	39	27	16	29	44	27	50	60
ECB_01160	313	227	252	279	183	135	182	203	278	375	266	308
ECB_01161	481	565	514	753	457	240	508	391	549	400	776	702
ECB_01162	381	387	347	475	188	107	194	216	276	242	378	496
ECB_01163	642	289	452	370	130	184	170	179	192	390	235	407
ECB_01164	4985	729	5315	1428	1392	969	1364	1450	1594	1255	1869	2610
ECB_01165	1813	432	2022	747	984	805	604	776	936	787	1091	1440
ECB_01166	264	443	304	543	432	414	363	400	587	397	547	627
ECB_01167	121	137	118	120	96	89	59	119	149	205	179	250
ECB_01168	185	185	195	282	179	140	241	227	294	234	351	328
ECB_01169	18	13	16	10	11	10	6	8	11	11	6	14
ECB_01170	6	24	18	8	3	12	4	10	8	8	4	12
ECB_01171	14	19	21	2	2	9	5	9	10	11	16	26
ECB_01172	227	90	210	73	49	54	44	48	62	100	128	190
ECB_01173	5884	600	3580	887	1022	737	1303	1172	1119	1049	1518	1875
ECB_01174	4975	401	3030	551	531	342	774	639	687	575	823	932
ECB_01175	6058	153	3978	354	388	344	432	583	456	337	997	1255
ECB_01176	61	91	54	65	36	38	47	59	69	60	69	87
ECB_01177	77	109	60	92	69	87	51	62	66	136	518	640
ECB_01178	224	282	182	235	276	165	250	256	287	226	583	632
ECB_01179	51	45	62	49	83	59	51	90	135	86	189	197
ECB_01180	493	59	710	83	59	48	60	71	36	47	76	111
ECB_01181	139	117	138	176	130	90	159	105	211	166	207	260
ECB_01182	900	1137	701	1335	1334	920	1496	1400	1805	1362	3160	3120
ECB_01183	449	521	616	894	717	416	750	644	930	610	1478	1527
ECB_01184	298	348	276	376	171	128	255	211	326	208	496	530
ECB_01185	579	489	582	606	655	486	513	610	765	621	845	954
ECB_01186	357	341	383	445	332	248	305	351	441	400	619	622
ECB_01187	158	178	197	226	297	149	201	211	271	194	387	357
ECB_01188	23	67	22	37	21	32	24	24	37	27	69	60
ECB_01189	377	289	292	392	198	175	216	175	368	300	561	576
ECB_01190	712	794	738	792	753	483	816	720	1055	864	1656	1588
ECB_01191	22	9	36	9	34	23	16	41	28	24	33	39
ECB_01192	5	11	4	19	37	12	12	31	30	22	22	21
ECB_01193	29	26	46	19	78	38	45	61	55	57	65	112
ECB_01194	1157	668	477	701	640	464	1278	824	1309	954	1960	2473
ECB_01195	62	45	30	49	21	6	31	13	35	32	63	86
ECB_01196	230	185	213	232	108	79	120	153	170	137	259	344
ECB_01197	97	39	72	37	22	29	19	21	39	44	50	93
ECB_01198	45	72	46	57	56	75	48	66	73	53	67	72
ECB_01199	610	509	664	702	332	264	520	405	710	500	782	806
ECB_01200	290	226	264	344	224	177	218	249	302	245	521	563
ECB_01201	25	28	17	17	55	50	39	44	92	60	180	129
ECB_01202	221	177	211	313	257	229	229	269	479	477	1851	1430
ECB_01203	116	51	88	126	61	56	59	43	75	54	179	174
ECB_01204	45	44	33	67	37	32	54	39	45	36	94	84
ECB_01205	28	26	29	58	27	6	24	30	33	30	65	45
ECB_01208	586	698	620	685	426	344	588	455	761	562	1143	1512
ECB_01209	445	643	343	666	226	188	304	278	365	323	561	561
ECB_01210	114	102	90	60	104	75	82	72	124	112	188	276
ECB_01211	160	168	134	167	153	129	122	160	187	189	382	409
ECB_01212	443	487	419	529	468	345	674	574	781	683	1728	1759
ECB_01213	4579	3017	3912	3947	2182	1631	3654	3129	3851	3763	3597	4986
ECB_01214	45	55	26	51	44	26	51	39	66	38	322	367
ECB_01215	22134	18222	27852	34516	22595	15149	30941	20523	38281	23506	48939	67388
ECB_01216	80	96	85	140	51	41	59	69	90	74	136	201
ECB_01217	833	858	613	769	444	353	692	578	820	612	2117	2623
ECB_01218	169	189	102	191	123	99	161	153	222	145	434	496
ECB_01219	205	310	144	267	162	120	197	160	261	181	517	562
ECB_01220	376	416	296	429	253	223	386	245	576	384	870	990
ECB_01221	562	486	468	594	419	231	546	418	577	422	1069	1186
ECB_01222	115	117	95	122	95	111	116	158	177	180	266	235
ECB_01223	615	387	544	561	388	269	361	366	422	378	662	880
ECB_01224	92	157	65	148	74	77	65	91	116	118	390	442
ECB_01225	243	163	205	218	70	68	126	102	132	138	375	529
ECB_01226	532	694	822	1148	646	425	640	674	719	566	1132	1427
ECB_01227	23	28	21	15	22	17	23	19	29	34	81	57
ECB_01228	93	78	78	110	65	63	85	76	93	75	149	176
ECB_01229	131	165	125	222	204	131	232	198	289	183	369	352
ECB_01230	912	245	819	315	61	47	70	54	109	62	137	221
ECB_01231	0	8	7	5	4	4	4	3	10	3	8	12
ECB_01232	3	4	2	2	5	4	1	8	1	2	5	9
ECB_01233	1	0	4	1	0	0	0	2	1	1	7	9
ECB_01234	5703	3665	7078	6164	4553	2904	7327	5413	7940	5807	7252	7412
ECB_01235	4012	2562	4982	4140	3074	2184	5129	3794	6112	3891	7355	8333
ECB_01236	3319	1609	2670	2277	1575	951	2257	1969	2869	2168	2968	3222
ECB_01237	2718	800	2146	1586	1078	616	1551	1407	2038	1304	2311	2357
ECB_01238	2362	622	1320	1166	521	475	765	735	1020	755	1225	1341
ECB_01239	15	9	7	21	17	8	15	11	20	3	24	29
ECB_01240	118	122	158	157	178	134	147	180	206	124	286	362
ECB_01241	393	270	412	402	313	207	368	347	392	294	502	604
ECB_01243	8	6	4	10	2	7	2	4	3	6	8	13
ECB_01244	2	2	0	1	0	0	0	1	0	0	0	0
ECB_01245	246	256	187	300	558	276	569	487	662	470	1129	1101
ECB_01246	569	390	510	497	312	231	392	317	488	317	525	618
ECB_01247	437	162	352	272	227	163	219	202	277	222	513	553
ECB_01248	459	524	708	820	417	317	491	445	567	572	912	1433
ECB_01249	227	207	154	177	119	123	101	129	164	168	283	408
ECB_01250	1564	1505	1104	1612	1370	1011	1789	1631	2278	1613	3382	3294
ECB_01251	895	1112	997	1280	644	658	932	804	1231	969	1596	2178
ECB_01253	4679	1820	4119	2634	3268	2101	3460	2698	4439	3163	6146	7809
ECB_01254	499	426	582	582	240	181	249	254	313	281	685	870
ECB_01255	91	82	57	107	118	95	107	70	138	114	225	285
ECB_01256	208	139	106	155	116	87	82	101	163	112	188	198
ECB_01257	272	297	306	329	381	239	259	308	353	311	433	545
ECB_01258	101	197	72	137	148	108	181	172	247	201	400	332
ECB_01259	35	62	22	26	43	34	51	59	77	69	115	120
ECB_01260	55	59	54	38	22	31	33	54	57	21	234	450
ECB_01261	429	401	357	492	242	230	281	292	442	335	467	670
ECB_01262	403	399	256	450	249	213	360	311	506	337	774	1020
ECB_01263	1050	1541	1072	2003	1847	1053	2346	1887	2770	1857	3430	3554
ECB_01264	1162	960	1040	1307	923	866	1635	882	1885	1279	2369	3427
ECB_01265	2430	2276	2167	2646	2058	1286	2306	2083	2635	2105	3944	3758
ECB_01266	13	14	35	13	14	9	15	15	27	16	36	26
ECB_01267	61	75	62	84	117	57	78	76	113	74	129	160
ECB_01268	214	176	190	271	196	99	211	189	293	204	303	299
ECB_01269	92	73	94	145	95	58	86	87	117	109	120	203
ECB_01270	103	67	72	95	77	93	72	79	96	73	95	85
ECB_01271	232	296	209	288	202	149	143	156	297	313	241	288
ECB_01272	44	52	43	68	42	17	47	38	52	27	63	84
ECB_01273	398	281	486	397	358	228	245	259	452	374	626	885
ECB_01274	2120	1091	2194	1323	1265	925	1116	1050	1655	1350	2333	2995
ECB_01275	470	260	518	317	277	243	211	225	340	297	560	858
ECB_01276	906	559	903	770	702	563	523	511	790	663	1220	1522
ECB_01277	1480	737	1600	1124	804	598	676	733	1321	848	2500	3159
ECB_01278	1539	579	1691	998	700	350	664	651	929	754	1897	2465
ECB_01279	1241	683	1492	892	718	404	684	710	1146	806	2000	2482
ECB_01280	236	200	310	311	60	60	60	68	76	49	121	136
ECB_01281	78	29	52	48	318	191	1010	520	1324	566	1218	1040
ECB_01282	36	24	33	17	75	55	314	148	334	131	265	198
ECB_01283	34	17	18	24	79	16	183	112	218	104	211	194
ECB_01284	23	25	22	25	39	26	142	49	149	64	97	107
ECB_01285	115	18	82	41	80	34	123	63	132	111	158	171
ECB_01286	6	10	8	9	6	12	3	7	5	17	17	11
ECB_01287	7	8	6	5	2	11	3	5	6	16	11	4
ECB_01288	1	3	1	11	2	4	1	3	2	3	2	3
ECB_01289	3	3	4	3	5	2	1	5	2	2	13	5
ECB_01290	33	20	31	20	23	10	15	17	21	43	22	34
ECB_01291	12	10	8	13	7	4	9	5	6	9	20	23
ECB_01292	17	19	13	24	15	13	8	9	13	18	11	13
ECB_01293	16	31	26	21	30	11	21	17	37	33	24	44
ECB_01294	6	1	4	3	9	4	1	2	3	4	2	3
ECB_01295	15	12	30	27	15	52	8	28	38	157	4	33
ECB_01296	2	4	1	2	6	0	3	1	5	6	21	18
ECB_01297	21	42	16	19	49	31	18	23	33	37	69	82
ECB_01298	155	172	150	131	82	80	108	86	136	112	193	201
ECB_01299	54	72	90	82	76	30	39	82	56	59	91	124
ECB_01300	700	644	592	707	592	437	474	485	620	494	745	844
ECB_01301	3584	2074	3954	3489	2960	1817	4475	3497	4954	3662	8613	10361
ECB_01302	387	174	417	347	340	291	327	296	399	294	605	818
ECB_01303	121	82	120	134	162	85	121	101	139	97	180	235
ECB_01305	90	90	86	118	29	25	39	36	53	46	78	78
ECB_01306	98	100	56	79	45	45	70	62	78	54	140	148
ECB_01307	464	171	297	165	129	106	118	149	192	184	797	914
ECB_01308	20	37	9	33	11	29	26	18	28	36	113	161
ECB_01309	1200	1877	714	1483	1206	1392	1281	1438	1850	1836	2628	3295
ECB_01310	2675	980	2435	1983	831	697	1118	1018	1537	1246	1889	2419
ECB_01311	3976	2726	3564	3147	1822	1141	1823	1730	2334	1803	3436	3839
ECB_01312	193	123	152	148	159	142	150	123	204	152	263	270
ECB_01313	77	54	37	58	31	47	54	45	54	59	100	117
ECB_01314	54	23	49	31	17	35	19	25	50	35	72	98
ECB_01315	93	28	54	40	52	16	38	31	55	34	78	113
ECB_01316	53	16	16	13	19	12	11	7	17	12	28	38
ECB_01317	88	34	26	38	26	36	61	41	29	34	94	89
ECB_01318	125	126	172	201	150	130	121	121	163	112	284	355
ECB_01319	109	81	95	151	61	79	74	65	95	75	136	157
ECB_01320	126	161	116	198	158	135	226	172	201	195	403	340
ECB_01321	145	177	106	198	224	133	129	181	178	174	263	278
ECB_01322	9	28	8	29	23	29	18	20	33	56	26	29
ECB_01323	1	1	0	0	1	1	0	0	0	0	1	0
ECB_01324	21	28	8	17	6	26	8	11	18	21	5	8
ECB_01325	0	1	1	0	0	1	0	3	1	4	0	1
ECB_01326	4	7	13	7	4	4	4	4	4	7	12	21
ECB_01327	25	39	25	32	29	40	18	25	35	70	31	49
ECB_01328	1	10	10	7	1	6	2	5	4	13	4	4
ECB_01329	0	1	1	1	0	0	1	0	2	4	1	1
ECB_01330	2	0	0	2	2	0	1	2	0	1	0	0
ECB_01331	1	2	0	0	1	2	1	1	1	4	5	1
ECB_01332	0	1	2	1	0	1	0	0	0	3	0	0
ECB_01333	0	1	0	0	0	0	0	1	1	2	1	2
ECB_01334	0	0	0	1	1	4	1	0	1	1	4	0
ECB_01335	4	7	1	2	1	1	6	1	1	3	6	1
