"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_00001",75.4196302032527,-0.801457170455048,0.516708936736152,0.0186228490960325,0.0556027175626982
"ECB_00002",5057.64345219645,-0.0564908367345041,0.176393059631364,0.727806487332273,0.814563443759218
"ECB_00003",2736.19138071814,0.0522707221911953,0.201315555389044,0.773616454989166,0.850661785348776
"ECB_00004",5126.74945947219,-0.106704076423571,0.233888291693419,0.603162408639287,0.725993116536738
"ECB_00005",484.924096383143,-0.441820986485499,0.267359154595509,0.0535087527235275,0.126005281696615
"ECB_00006",164.361606495588,0.191357102488792,0.203130796407872,0.29486070835644,0.438621322387197
"ECB_00007",58.6820337466882,-0.125148465092809,0.296911010491749,0.609084523444355,0.730319500244585
"ECB_00008",4197.52562921366,-0.325395917599058,0.223098208037649,0.0996642173599199,0.196989276872294
"ECB_00009",212.671180394533,-0.0739702758245469,0.24089672431639,0.724852017685687,0.812790490354161
"ECB_00010",125.439306027605,-0.0880962676661118,0.208512905696339,0.637616907517078,0.753492673195794
"ECB_00011",25.9486918602855,-0.452053287592701,0.394310519755932,0.12125834034324,0.227133159896665
"ECB_00012",8.0066075474364,-0.56133193479204,0.517204505653572,0.085039917915367,0.175823883004589
"ECB_00014",3154.44224830513,-0.521794144971762,0.214137353686181,0.00697322093801192,0.0260376051803297
"ECB_00015",481.285011164024,0.311545532117856,0.25309978864759,0.15360630504216,0.268241066087075
"ECB_00016",45.6271898251784,-0.1553928123991,0.331164479797484,0.553386841765755,0.685813515223195
"ECB_00018",687.930521520515,0.270091353596312,0.191173092408276,0.119549946294522,0.224491545036846
"ECB_00019",69.2152268503409,1.35771172580018,0.314261578552401,3.52455539335985e-07,5.87165975929197e-06
"ECB_00020",13.7526667213857,-1.15706634707342,0.728106936603908,0.0051877817406208,0.0204952762365554
"ECB_00025",47.4291934872426,-1.44930644731868,1.54254046648401,NA,NA
"ECB_00027",775.950496731352,0.576435996661433,0.363119017683326,0.0412437721098656,0.104007235092863
"ECB_00028",24.0569389844624,-1.00881799154092,0.347157755061054,0.000357927915424675,0.00242373849203939
"ECB_00029",838.011038832564,-0.290678630685485,0.129272078962898,0.0177879878902792,0.0537494176620394
"ECB_00030",6135.20911541193,-0.217176632625654,0.215333891405952,0.257320301549037,0.397053662021362
"ECB_00031",856.038359075429,-0.44765765543259,0.287468041063918,0.0635343613631101,0.142834963622524
"ECB_00032",217.674128042273,0.465288343552633,0.18043943830532,0.00525808098149907,0.0207480643805751
"ECB_00033",544.339312476013,-0.324133184189378,0.222802620108252,0.100604946408526,0.198001894003189
"ECB_00034",127.190246528297,-0.139387192087477,0.366780709977335,0.614389363032004,0.734341572004919
"ECB_00035",757.469014152794,-0.309590874037923,0.191250735351236,0.0747060036432318,0.161000631778344
