"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_00001",75.4196302032527,-0.134781065502554,0.310225445324253,0.320889226625328,0.616716660665829
"ECB_00002",5057.64345219645,-0.180302231399832,0.156559724093967,0.144247733468371,0.412684435036791
"ECB_00003",2736.19138071814,-0.318158798200036,0.192479514964308,0.0202210583293246,0.127311512725597
"ECB_00004",5126.74945947219,-0.500633866935228,0.278374617362571,0.00306599465006843,0.0343555650521061
"ECB_00005",484.924096383143,-1.11540865345621,0.333434924393051,1.37898446216868e-05,0.000418699717747183
"ECB_00006",164.361606495588,0.0107582271940717,0.165773698289775,0.931801266207999,0.972078627673349
"ECB_00007",58.6820337466882,0.0201404639574408,0.215334679149624,0.876245678567252,0.952428879267585
"ECB_00008",4197.52562921366,-0.0501936586210204,0.175169880901857,0.694976702074791,0.871324436667195
"ECB_00009",212.671180394533,0.0663001455955075,0.190436300140553,0.610833013501734,0.828154949886218
"ECB_00010",125.439306027605,-0.142044566719318,0.175044064244227,0.270751276282466,0.566006971240135
"ECB_00011",25.9486918602855,-0.261669700388228,0.339678139497092,0.0959043086437255,0.32471198025506
"ECB_00012",8.0066075474364,-0.0513831730172023,0.302182205102513,0.68127672802182,0.86641191333571
"ECB_00014",3154.44224830513,-0.101855721125946,0.169613003737575,0.423108177654563,0.70549259914501
"ECB_00015",481.285011164024,0.0106991724012899,0.18980002011171,0.934255611924426,0.97293785970865
"ECB_00016",45.6271898251784,-0.308308477426048,0.322155786972324,0.055984055227295,0.240061935912249
"ECB_00018",687.930521520515,0.254584750297388,0.168971551234125,0.0476531461086696,0.218462410088711
"ECB_00019",69.2152268503409,0.676274851182325,0.354704721600075,0.00107533917238219,0.0155120765671224
"ECB_00020",13.7526667213857,-0.75767292557152,0.75112233543804,0.00979288414931272,0.076178117401162
"ECB_00025",47.4291934872426,-0.688294269790052,1.01428622171019,NA,NA
"ECB_00027",775.950496731352,0.0335366996232057,0.230512224315615,0.793540697435036,0.921054239182269
"ECB_00028",24.0569389844624,-0.0102212591786946,0.221643250909689,0.936663906861146,0.973397936919542
"ECB_00029",838.011038832564,0.248973230900301,0.120218594843052,0.0176120442757307,0.114829121120166
"ECB_00030",6135.20911541193,-0.170667750863525,0.17942904482579,0.190900185407073,0.46955582038502
"ECB_00031",856.038359075429,-0.282512973555525,0.25059944053958,0.0566857790974549,0.240504495637339
"ECB_00032",217.674128042273,0.216419493981806,0.154429443855515,0.0779765880693818,0.291541066614918
"ECB_00033",544.339312476013,-0.196921854118578,0.18429003090201,0.136210370224267,0.399355907315783
"ECB_00034",127.190246528297,0.0284105920975345,0.247136590547505,0.821920608594471,0.932191864983343
"ECB_00035",757.469014152794,-0.229390034220949,0.165660348034646,0.0712537969872912,0.277819712882442
"ECB_00036",4023.24867141916,0.0668852308767554,0.182690529759784,0.605289623796497,0.825558859476614
"ECB_00037",16948.6908973415,-0.142105576614144,0.206119728720676,0.288086735234974,0.58408770026053
"ECB_00038",29.8651551458936,0.611191661110271,0.409600848918226,0.00429183863146903,0.0437607068510795
"ECB_00039",27.1868439653735,0.319403527025414,0.364162911357205,0.0577921193755297,0.242556364618423
