group,timepoint,Time,well,S freq,lambda,total count,YFP,BFP,Dilution,corrected total count,gen,competition,S minmaj,scaled counts,S counts,LSl counts,BFP freq,timegroup,BFP counts,YFP counts
3,0,0.0,C5,0.032276965,1.576027504,24917,7630.617676000001,8359.083984,0.4,49507.851539999996,6.5k,Sl,min,123769.6288,3994.907978,119774.7209,,,,
3,0,0.0,C6,0.032276965,1.576027504,24917,7630.617676000001,8359.083984,0.4,49507.851539999996,6.5k,Sl,min,123769.6288,3994.907978,119774.7209,,,,
4,0,0.0,C7,0.9533481859999999,2.379453136,24372,7939.619629000001,8672.450195,0.4,63910.192610000006,6.5k,Sl,maj,159775.4815,152321.6655,7453.816045999999,,,,
4,0,0.0,C8,0.9533481859999999,2.379453136,24372,7939.619629000001,8672.450195,0.4,63910.192610000006,6.5k,Sl,maj,159775.4815,152321.6655,7453.816045999999,,,,
4,0,0.0,C9,0.9533481859999999,2.379453136,24372,7939.619629000001,8672.450195,0.4,63910.192610000006,6.5k,Sl,maj,159775.4815,152321.6655,7453.816045999999,,,,
4,0,0.0,C10,0.9533481859999999,2.379453136,24372,7939.619629000001,8672.450195,0.4,63910.192610000006,6.5k,Sl,maj,159775.4815,152321.6655,7453.816045999999,,,,
4,0,0.0,C11,0.9533481859999999,2.379453136,24372,7939.619629000001,8672.450195,0.4,63910.192610000006,6.5k,Sl,maj,159775.4815,152321.6655,7453.816045999999,,,,
4,0,0.0,C12,0.9533481859999999,2.379453136,24372,7939.619629000001,8672.450195,0.4,63910.192610000006,6.5k,Sl,maj,159775.4815,152321.6655,7453.816045999999,,,,
1,1,0.5,A1,0.036023572999999996,0.276592514,2291,7732.59082,8501.511719,0.02,2622.423913,6.5k,L,min,131121.1957,4723.453964,126397.7417,,,,
1,1,0.5,A2,0.029529415,0.268955937,2206,7707.573242,8586.527344,0.02,2515.9404,6.5k,L,min,125797.02,3714.712409,122082.3076,,,,
1,1,0.5,A3,0.02808293,0.218305169,2182,7714.425781,8451.18457,0.02,2428.829722,6.5k,L,min,121441.4861,3410.432753,118031.0533,,,,
1,1,0.5,A4,0.032288643,0.165692641,2318,7726.231445,8579.890625,0.02,2515.338554,6.5k,L,min,125766.9277,4060.843429,121706.0842,,,,
1,1,0.5,A5,0.02882347,0.20193535699999998,2300,7703.741211,8527.157227,0.02,2540.036116,6.5k,L,min,127001.8058,3660.632739,123341.1731,,,,
1,1,0.5,A6,0.035033813999999996,0.159747235,2037,7713.615234000001,8522.707031,0.02,2204.0325980000002,6.5k,L,min,110201.6299,3860.7834049999997,106340.8465,,,,
2,1,0.8,A7,0.952362994,0.129550415,2212,7742.594238,8484.529297,0.02,2358.375617,6.5k,L,maj,117918.7809,112301.4832,5617.297672,,,,
2,1,0.8,A8,0.9375625190000001,0.144354478,2367,7726.191895,8449.922852,0.02,2541.952436,6.5k,L,maj,127097.6218,119161.9664,7935.655346,,,,
2,1,0.8,A9,0.952892227,0.19286806199999998,2657,7734.11084,8441.443359,0.02,2921.456396,6.5k,L,maj,146072.8198,139191.6545,6881.165236,,,,
2,1,0.8,A10,0.9507258040000001,0.1527065,2796,7732.856934,8424.089844,0.02,3014.914968,6.5k,L,maj,150745.7484,143317.8728,7427.8755519999995,,,,
2,1,0.8,A11,0.956398986,0.143895362,3000,7758.179198999999,8436.688477,0.02,3221.017726,6.5k,L,maj,161050.8863,154028.9044,7021.981948999999,,,,
2,1,0.8,A12,0.950770124,0.159887447,2940,7742.837401999999,8432.339844,0.02,3181.295059,6.5k,L,maj,159064.753,151234.0149,7830.738064,,,,
3,1,1.133333333,C1,0.044593376,0.13524265800000002,2777,7844.641113,8461.439453,0.02,2969.0158850000003,6.5k,Sl,min,148450.7943,6619.922086,141830.8722,,,,
3,1,1.133333333,C2,0.038637234,0.110566648,2922,7830.76709,8402.918945,0.02,3086.51405,6.5k,Sl,min,154325.7025,5962.71828,148362.9842,,,,
3,1,1.133333333,C3,0.039480529,0.156459299,3034,7834.688965,8380.550781,0.02,3277.53547,6.5k,Sl,min,163876.7735,6469.941707999999,157406.8318,,,,
3,1,1.133333333,C4,0.037670222999999996,0.138758455,3181,7842.541992,8390.092773,0.02,3406.797576,6.5k,Sl,min,170339.8788,6416.74122,163923.1376,,,,
3,1,1.133333333,C5,0.035278874,0.150234115,3325,7834.016113,8409.371094,0.02,3581.0157159999994,6.5k,Sl,min,179050.7858,6316.710112,172734.0757,,,,
3,1,1.133333333,C6,0.036668071,0.207315146,2868,7837.672363,8422.827148,0.02,3175.554686,6.5k,Sl,min,158777.7343,5822.073234,152955.6611,,,,
4,1,1.483333333,C7,0.957089289,0.251425558,3584,8108.46875,8739.564453,0.02,4053.4148950000003,6.5k,Sl,maj,202670.7448,193973.99899999998,8696.745756,,,,
4,1,1.483333333,C8,0.952483985,0.248181368,3562,8089.97168,8687.973633,0.02,4022.275425,6.5k,Sl,maj,201113.7712,191557.6463,9556.124971,,,,
4,1,1.483333333,C9,0.954250747,0.23384163100000002,4017,8070.549316,8664.987305,0.02,4504.959024,6.5k,Sl,maj,225247.9512,214943.0257,10304.92551,,,,
4,1,1.483333333,C10,0.947288612,0.22634059899999998,3894,8089.164551000001,8687.228516,0.02,4351.295126,6.5k,Sl,maj,217564.7563,206096.616,11468.14028,,,,
4,1,1.483333333,C11,0.951771735,0.24571471600000003,3902,8082.168456999999,8685.219727,0.02,4401.001856,6.5k,Sl,maj,220050.0928,209437.4586,10612.63419,,,,
4,1,1.483333333,C12,0.951594194,0.20048279800000002,3574,8060.087401999999,8686.391602,0.02,3944.225669,6.5k,Sl,maj,197211.2834,187665.1123,9546.171127,,,,
1,2,1.8166666669999998,A1,0.071464698,0.269931364,2625,7868.69873,8591.47168,0.02,2995.204361,6.5k,L,min,149760.2181,10702.56876,139057.6493,,,,
1,2,1.8166666669999998,A2,0.069585727,0.144592465,1923,7883.42627,8566.631836,0.02,2065.374832,6.5k,L,min,103268.7416,7186.030459999999,96082.71114,,,,
1,2,1.8166666669999998,A3,0.065074034,0.203779049,2743,7838.007812999999,8609.324219,0.02,3031.968532,6.5k,L,min,151598.4266,9865.121165,141733.3054,,,,
1,2,1.8166666669999998,A4,0.06607173200000001,0.24539986,2246,7835.236328,8546.105469,0.02,2532.844127,6.5k,L,min,126642.2063,8367.469918,118274.7364,,,,
1,2,1.8166666669999998,A5,0.0639966,0.309299333,2484,7824.996094,8556.786133,0.02,2887.921147,6.5k,L,min,144396.0573,9240.856724,135155.2006,,,,
1,2,1.8166666669999998,A6,0.07788239400000001,0.138283142,1712,7855.880859000001,8501.307617,0.02,1833.0976050000002,6.5k,L,min,91654.88025,7138.301495000001,84516.57875,,,,
2,2,2.2,A7,0.9651396090000001,0.225966045,3815,7810.080566,8399.480469,0.02,4262.249465999999,6.5k,L,maj,213112.4733,205683.2891,7429.184146,,,,
2,2,2.2,A8,0.9692003370000001,0.23209209,4042,7790.55957,8386.707031,0.02,4529.185958,6.5k,L,maj,226459.2979,219484.4279,6974.870059000001,,,,
2,2,2.2,A9,0.96974643,0.255360127,4539,7782.211914,8368.996094,0.02,5143.17827,6.5k,L,maj,257158.9135,249378.9383,7779.975190000001,,,,
2,2,2.2,A10,0.964998358,0.214744506,4826,7748.918456999999,8345.725586,0.02,5362.710252000001,6.5k,L,maj,268135.5126,258750.3294,9385.183219,,,,
2,2,2.2,A11,0.973840149,0.255757823,4298,7789.752441,8417.842773,0.02,4871.026481,6.5k,L,maj,243551.324,237180.0577,6371.266347,,,,
2,2,2.2,A12,0.972470438,0.167119661,4694,7773.802734000001,8436.005859,0.02,5097.149649,6.5k,L,maj,254857.4824,247841.3676,7016.114864,,,,
3,2,2.5333333330000003,C1,0.031486531,0.418646845,6896,7729.769531,8240.118164,0.02,8439.920392,6.5k,Sl,min,421996.0196,13287.19075,408708.8289,,,,
3,2,2.5333333330000003,C2,0.036013073,0.40818905899999997,7625,7681.632323999999,8198.859375,0.02,9286.799995,6.5k,Sl,min,464339.9998,16722.31031,447617.6894,,,,
